Type,Group,Obs_Name,Weight,Initial_Phi,Final_Phi,Reduction_%,Final_Contribution_%
ARR-H,less_16obg22,arr-h,0.4,79853650631.29214,320935.80150292686,99.99959809501637,0.017673884099004365
Head,13obg2,ts-heads:pk4,0.3,59889765156.70322,1202573.936097561,99.99799202095224,0.06622555747143075
Head,1obg0,ts-heads:pk4-conf-diff,0.3,59890678143.686745,1202718.2004878048,99.99799181068279,0.06623350208870574
Head,2obg1,ts-heads:pk4-spr-diff,0.3,59890730598.85422,1214998.7312195122,99.99797130754781,0.06690978898412235
ARR-H,greater_20obg6,arr-confq:confq,0.1,19959447642.117714,5348729.27786452,99.97320201754191,0.2945536798675505
Budget,greater_5obg12,budget:confined,0.2,39582786209.08995,17259424.536585364,99.9563966405866,0.950473793969477
ARR-H,19obg5,arr-spq:spq,0.05,9981695237.672573,10648299.987353416,99.89332172808517,0.5864002051083029
Flux,less_6obg13,budget:inflow,0.2,39927485425.383255,70006272.4880683,99.82466646285827,3.855234412500262
ARR-H,18obg4,arr-awq:awq,0.05,9981692527.654383,48308776.84201737,99.51602619788,2.6603567407318205
Recession,3obg10,recession:pk4,0.05,9933408030.798796,469372892.4307805,95.2748050721819,25.848291344212658
Recession,22obg8,recession:pk4-conf-diff,0.05,9974041521.692772,471292945.86092687,95.27480465330025,25.95402838454717
Recession,23obg9,recession:pk4-spr-diff,0.05,9938865491.346987,719697329.3902439,92.75875772725942,39.6336187064195
ARR-H,16obg22,arr-h,0.0,0.0,0.0,,0.0
Recession,21obg7,recession:fliptime,0.0,0.0,0.0,,0.0
Recession,10obg17,budget:recharge,0.0,0.0,0.0,,0.0
Flux,17obg3,ts-sprflux:flux,0.0,0.0,0.0,,0.0
Flux,6obg13,budget:inflow,0.0,0.0,0.0,,0.0
Budget,4obg11,budget:awanui,0.0,0.0,0.0,,0.0
Budget,7obg14,budget:inout,0.0,0.0,0.0,,0.0
Budget,8obg15,budget:percentdiscrepancy,0.0,0.0,0.0,,0.0
Budget,9obg16,budget:poukawa,0.0,0.0,0.0,,0.0
Budget,11obg18,budget:spring,0.0,0.0,0.0,,0.0
Budget,12obg19,budget:stoss,0.0,0.0,0.0,,0.0
Budget,14obg20,budget:sw,0.0,0.0,0.0,,0.0
Budget,15obg21,budget:total,0.0,0.0,0.0,,0.0
